bucket,bucket_kind,app_id,title,genre,match_strength,reasons,members_count,published,age_days,rank_growth_rate,rank_popular_week,rank_popular_today,hot_top300
arrow_tapaway,mechanic,54489790,ТапТап Стрелка,Puzzle,strong,title:стрелк,169060,2026-04-02,167,101,34,39,1
arrow_tapaway,mechanic,54579291,Стрелки: Очисти поле,Puzzle,strong,title:стрелк; desc:стрелки: очист,91709,2026-05-25,114,145,70,71,1
arrow_tapaway,mechanic,54539273,Разбери Стрелочки,Puzzle,strong,title:стрелоч,81470,2026-04-16,153,78,95,78,1
arrow_tapaway,mechanic,54579195,Стрелочки,Puzzle,strong,title:стрелоч,72211,2026-05-07,132,761,398,438,0
arrow_tapaway,mechanic,54184191,Лабиринт Стрелок Пазл,Puzzle,strong,"desc:стрелки по игровому полю, чтобы очист",37107,2026-02-24,204,8,179,44,1
arrow_tapaway,mechanic,53131314,Разбери кубики 3D головоломка,Puzzle,strong,desc:в направлении стрелк,35635,2025-02-27,566,2209,912,,0
arrow_tapaway,mechanic,54531151,Arrow Escape Стрелки Лабиринт,Puzzle,strong,"title:arrow; desc:стрелки, чтобы убрать их с поля",30553,2026-04-13,156,1120,256,300,1
arrow_tapaway,mechanic,54698383,Туда-Сюда: Распутай Рисунок,Puzzle,strong,title:туда-сюда; desc:стрелочки с поля,21922,2026-08-14,33,7,133,40,1
arrow_tapaway,mechanic,54631079,Туда-Сюда: Стрелочки,Puzzle,strong,"title:туда-сюда; desc:стрелочки — затягивающая головоломка, в ",15443,2026-06-23,85,3776,1873,440,0
arrow_tapaway,mechanic,54432978,Распутай Стрелки,Puzzle,strong,"title:распута; desc:стрелки блокируют друг друга, а твоя зад",15274,2026-02-04,224,2380,734,2507,0
arrow_tapaway,mechanic,51569769,Скинь квадрат,Puzzle,strong,"desc:стрелки на квадрате нет, значит квадрат ",6379,2023-03-13,1283,3963,4513,4515,0
arrow_tapaway,mechanic,54669674,Стрелки: Дизайн Дома Мечты,Puzzle,strong,title:стрелк; desc:стрелки: дизайн дома мечты — головоломка,5740,2026-08-19,28,132,691,368,1
arrow_tapaway,mechanic,54646011,Snake Escape - Найди Выход,Puzzle,strong,desc:tap away,5422,2026-06-26,82,3818,593,1145,0
arrow_tapaway,mechanic,54644271,Стрелочки - Построй свой Дом,Puzzle,strong,title:стрелоч,5036,2026-07-13,65,4553,1819,1674,0
arrow_tapaway,mechanic,54438665,Стрелочки,Puzzle,strong,title:стрелоч,4478,2026-02-06,222,3339,359,1121,0
arrow_tapaway,mechanic,54641447,Мастер стрелок,Puzzle,strong,"desc:стрелки, чтобы очист",3974,2026-06-23,85,3148,1386,2490,0
arrow_tapaway,mechanic,54673391,Стрелки - Открой Картинку,Puzzle,strong,"title:стрелк; desc:стрелки, убира",3827,2026-07-16,62,2686,771,174,1
arrow_tapaway,mechanic,54629726,Стрелки: Спаси хомяков,Puzzle,strong,title:стрелк; desc:головоломка со стрел,3651,2026-08-21,26,4422,1080,706,0
arrow_tapaway,mechanic,54706915,Тапай Стрелки: Головоломка,Puzzle,strong,title:стрелк,3514,2026-08-06,41,2471,1111,,0
arrow_tapaway,mechanic,54629332,Стрелки: Распутай Клубок,Puzzle,strong,"title:стрелк; desc:в направлении, куда",3219,2026-06-15,93,3368,1420,995,0
arrow_tapaway,mechanic,54649206,Разбери Кубик Стрелочек,Puzzle,strong,title:стрелоч,2668,2026-07-02,76,2869,1187,1233,0
arrow_tapaway,mechanic,54657624,Сортируй Стрелки,Puzzle,strong,title:стрелк,2509,2026-07-03,75,3623,1351,2683,0
arrow_tapaway,mechanic,54637960,Стреляй стрелки,Hyper-casual,strong,"title:стрелк; desc:стрелки одну за другой, пока поле не очи",1924,2026-06-22,86,3934,4336,4337,0
arrow_tapaway,mechanic,52203029,Разбери Стрелки,Puzzle,strong,title:стрелк; desc:unpuzzle,1786,2024-08-26,751,2495,3502,3503,0
