group_id,game,app_id,mechanic,group_members,app_members_count,group_to_app_ratio,records_processed,capture_status,captured_at_utc,sex_female_n,sex_male_n,sex_unspecified_n,sex_coverage,age_year_coverage,age_lt18,age_18_24,age_25_34,age_35_44,age_45_54,age_55plus,age_unknown_no_year_n,age_suppressed_remainder_n,city_coverage,city_top,country_field_seen,errors
236576213,Yaga: Zelya sudby,54380425,sort,1425,129265,0.011,1425,complete,2026-09-17T05:08:32.408Z,1152,273,0,1.0,0.4365,22,60,152,201,121,66,803,0,0.6646,Moscow 83; Saint Petersburg 67; Novosibirsk 20; Rostov-on-Don 20,no,
233302675,Grand Tour,53448227,match3,704,173954,0.004,704,complete,2026-09-17T05:08:35.102Z,383,321,0,1.0,0.4929,suppressed,36,122,117,46,suppressed,357,26,0.6562,Moscow 59; Saint Petersburg 37,no,
240373000,Strelki: Ochisti pole,54579291,arrow,6,91709,0.0001,0,inaccessible,2026-09-17T05:08:36.742Z,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,suppressed (no city with n>=20),no,groups.getMembers: VK error 15
225055876,Razberi Kubik,51871737,arrow,90,88702,0.001,90,complete,2026-09-17T05:08:37.055Z,63,27,0,1.0,0.6222,0,suppressed,suppressed,suppressed,suppressed,37,34,19,0.6667,suppressed (no city with n>=20),no,
233439912,Bolty i gaiki (Fabrika igr dev group),54255702,sort,10,177003,0.0001,10,complete,2026-09-17T05:08:38.080Z,6,4,0,1.0,0.5,0,0,suppressed,0,0,suppressed,5,5,0.6,suppressed (no city with n>=20),no,
234333127,Tropikvil,54102802,merge,155,184116,0.0008,155,complete,2026-09-17T05:08:39.100Z,123,32,0,1.0,0.4516,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,85,70,0.7161,suppressed (no city with n>=20),no,
232830008,Mir Sliyaniya,54164742,merge,255,143777,0.0018,255,complete,2026-09-17T05:08:40.312Z,213,42,0,1.0,0.451,suppressed,suppressed,21,31,20,29,140,14,0.6627,suppressed (no city with n>=20),no,
236123415,Tap Gallery,54458245,match3,26,141050,0.0002,26,complete,2026-09-17T05:08:41.684Z,20,6,0,1.0,0.2692,0,suppressed,0,suppressed,0,suppressed,19,7,0.7308,suppressed (no city with n>=20),no,
237611414,Razberi Strelochki,54539273,sort,15,81470,0.0002,15,complete,2026-09-17T05:08:42.415Z,11,4,0,1.0,0.4667,0,0,suppressed,suppressed,suppressed,suppressed,8,7,0.8667,suppressed (no city with n>=20),no,
235802722,Moy Zamok,54419995,merge,59,78091,0.0008,59,complete,2026-09-17T05:08:43.252Z,50,9,0,1.0,0.4068,0,suppressed,suppressed,suppressed,suppressed,suppressed,35,24,0.7288,suppressed (no city with n>=20),no,
215368653,GidKap dev group (Sadovody),54613094,match3,9,37281,0.0002,0,inaccessible,2026-09-17T05:08:44.370Z,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,suppressed (no city with n>=20),no,groups.getMembers: VK error 15
240707160,Tuda-Syuda,54698383,arrow,3,21922,0.0001,0,inaccessible,2026-09-17T05:08:45.411Z,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,suppressed (no city with n>=20),no,groups.getMembers: VK error 15
