app_id,title,genre,members_count,published,age_days,primary_mechanic,primary_theme,combat,roguelite,overlap,arrow_tapaway,projectile_continues_outside_board,external_targets,external_mobs_or_enemies,bosses,direction_is_resource,board_rotation_or_direction_change,temporary_targets_or_move_windows,run_upgrades,choose_one_of_three,projectile_modifiers,ricochet,pierce,split_or_multishot,chain_or_bounce,elemental_effects
53992911,Двигай Цветные Блоки,Puzzle,67,2025-08-05,407,arrow_tapaway,abstract,none,no,5,yes,yes,yes,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
53131314,Разбери кубики 3D головоломка,Puzzle,35635,2025-02-27,566,arrow_tapaway,abstract,none,no,4,yes,yes,unknown,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
51470914,Кубик Разберубик,Puzzle,20134,2022-12-28,1358,arrow_tapaway,abstract,none,no,4,yes,yes,unknown,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
52328332,Разбери кубик из блоков,Puzzle,4073,2024-09-24,722,arrow_tapaway,abstract,none,no,4,yes,yes,unknown,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54702801,Пульс стрелок,Puzzle,430,2026-09-04,12,arrow_tapaway,abstract,none,no,4,yes,yes,unknown,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54579291,Стрелки: Очисти поле,Puzzle,91709,2026-05-25,114,arrow_tapaway,abstract,none,no,3,yes,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
51871737,Разбери Кубик,Puzzle,88702,2024-03-18,912,arrow_tapaway,abstract,none,no,3,yes,unknown,unknown,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54579195,Стрелочки,Puzzle,72211,2026-05-07,132,arrow_tapaway,abstract,none,no,3,yes,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54579601,Разбери Кубик 2026,Puzzle,36042,2026-05-13,126,arrow_tapaway,abstract,none,no,3,yes,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54531151,Arrow Escape Стрелки Лабиринт,Puzzle,30553,2026-04-13,156,arrow_tapaway,abstract,none,no,3,yes,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54698383,Туда-Сюда: Распутай Рисунок,Puzzle,21922,2026-08-14,33,arrow_tapaway,abstract,none,no,3,yes,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54631079,Туда-Сюда: Стрелочки,Puzzle,15443,2026-06-23,85,arrow_tapaway,abstract,none,no,3,yes,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54646011,Snake Escape - Найди Выход,Puzzle,5422,2026-06-26,82,arrow_tapaway,abstract,none,no,3,yes,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54644271,Стрелочки - Построй свой Дом,Puzzle,5036,2026-07-13,65,arrow_tapaway,abstract,none,no,3,yes,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
51523379,Стрельба по блокам,Hyper-casual,4179,2023-01-11,1344,other_puzzle,abstract,none,no,3,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no
54673391,Стрелки - Открой Картинку,Puzzle,3827,2026-07-16,62,arrow_tapaway,abstract,none,no,3,yes,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54649206,Разбери Кубик Стрелочек,Puzzle,2668,2026-07-02,76,arrow_tapaway,abstract,none,no,3,yes,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
52203029,Разбери Стрелки,Puzzle,1786,2024-08-26,751,arrow_tapaway,abstract,none,no,3,yes,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54613781,Куб стрелок,Puzzle,1592,2026-06-02,106,arrow_tapaway,abstract,none,no,3,yes,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54686517,Спаси семью от змей,Puzzle,1264,2026-08-03,44,arrow_tapaway,home_renovation,none,no,3,yes,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54643096,Распутай змей,Puzzle,1237,2026-07-02,76,arrow_tapaway,abstract,none,no,3,yes,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54655149,Куб и Стрелки - разбери,Puzzle,688,2026-07-03,75,arrow_tapaway,abstract,none,no,3,yes,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54608047,Hexa Slink: Tap Away Puzzle,Puzzle,682,2026-07-10,68,arrow_tapaway,abstract,none,no,3,yes,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54723170,Стрелки - Найди выход,Puzzle,593,2026-08-21,26,arrow_tapaway,abstract,none,no,3,yes,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54723115,КликТап Стрелки,Puzzle,493,2026-08-21,26,arrow_tapaway,abstract,none,no,3,yes,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
52224498,Вдребезги,Puzzle,259,2024-08-29,748,other_puzzle,abstract,none,no,3,no,no,no,no,no,yes,unknown,unknown,unknown,unknown,yes,unknown,no,yes,unknown,unknown
