mechanic,n,median_members,p75_members,p90_members,n_fresh_365,fresh_median_members,fresh_p90_members,fresh_ge_50k,fresh_ge_100k,in_growth_top100,in_growth_top200,in_today_top100,in_today_top200
non_puzzle,337,22756,152814,837500,103,3389,28289,5,1,49,96,43,100
merge,263,3881,13537,78091,89,1957,14031,3,2,6,14,15,18
match3,226,11156,51246,248920,52,3296,30614,2,2,9,13,12,24
other_puzzle,222,6024,21222,75135,65,2682,7747,2,1,3,12,2,7
sort,125,4216,15108,70871,49,3169,57962,5,2,5,7,4,5
tile_match,88,6826,23645,142725,34,4001,16176,1,0,2,3,1,2
tabletop,73,45662,396884,1368893,19,2059,15632,1,1,10,24,12,21
hidden_object,59,12751,48471,165164,16,5604,22175,1,0,3,6,1,3
word,48,10184,19904,235226,20,4300,18079,0,0,3,7,2,5
bubble_shooter,45,14074,52888,135290,8,3546,5542,0,0,0,0,0,2
picture_reveal,37,5733,20047,107832,13,5733,25281,1,0,2,4,1,2
arrow_tapaway,35,3514,21922,41102,28,2944,41102,2,0,3,4,3,4
quiz_trivia,34,38054,331226,841656,7,4403,8599,0,0,1,3,1,2
unknown,28,13036,79714,3329112,4,4964,33593,0,0,3,3,3,4
block_hexa,26,7653,90545,194339,7,841,9616,0,0,1,4,0,0
screw,19,17419,39106,101791,8,3128,38191,0,0,0,0,0,1
