app_id,primary_mechanic,secondary_mechanics,primary_theme,secondary_themes,combat,roguelite,meta_layer,arrow_tapaway,projectile_continues_outside_board,external_targets,external_mobs_or_enemies,bosses,direction_is_resource,board_rotation_or_direction_change,temporary_targets_or_move_windows,run_upgrades,choose_one_of_three,projectile_modifiers,ricochet,pierce,split_or_multishot,chain_or_bounce,elemental_effects,confidence_mechanic,confidence_theme,confidence_magic_arrow_features,needs_review,evidence
699523,tabletop,,realistic_neutral,,none,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,покер и блекджек с турнирами и приватными столами
1719130,tabletop,,realistic_neutral,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"преферанс как отдельное приложение, классическая карточная игра"
1744756,non_puzzle,,monsters_combat,,core,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,low,high,no,"пошаговые бои против игроков, арсенал, прокачка, борьба за рейтинг"
1885302,non_puzzle,,detective_mystery,,none,no,other,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"психологическая словесная ролевая игра, чат, детектив"
1887884,tabletop,,realistic_neutral,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"длинные нарды, классическая настольная игра онлайн с соперниками"
1888145,non_puzzle,,magic_fantasy,treasure_adventure,core,no,rpg_progression,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"MMORPG: квесты, существа, сражения за замки, мир магии"
1930071,non_puzzle,,romance_love,,none,no,other,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,"вращай бутылку, задания, знакомства и флирт"
1968803,tabletop,,realistic_neutral,,none,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"техасский холдем и омаха, много турниров, рейтинг"
1985317,non_puzzle,,realistic_neutral,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"игровые автоматы, слоты, казино без денежного выигрыша"
2047522,non_puzzle,,cute_animals,,none,no,collection,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"3D-аквариум: собери коллекцию рыбок, заботься, монеты"
2247474,non_puzzle,,realistic_neutral,,core,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,low,high,no,"командная тактическая онлайн-игра, флаги, вражеская база"
2255775,non_puzzle,,realistic_neutral,,none,no,other,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"виртуальный мир: персонаж, квартира, свадьбы, работа, колесо удачи"
2296756,non_puzzle,,farm_garden,,none,no,other,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,"сад и огород, семья и соседи"
2306756,non_puzzle,,home_renovation,,none,no,other,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"строй дома как мэр, бизнес, процветающий город"
2388722,non_puzzle,,farm_garden,,none,no,other,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,"ферма: скрещивание растений и животных, 700 предметов декора"
