app_id,title,mapping,ui_block,ui_label,ui_value,ui_lower,ui_upper,members_count,ratio_members_to_ui,members_within_ui_rounding,ui_captured_at,api_captured_at
3144697,Целуй и Знакомься,exact_unique_title,Популярные,34M,34000000,33500000,35000000,33914168,0.997,1,2026-09-16T16:27:13Z,2026-09-16T16:42:18.632Z
3882511,Сокровища Пиратов,exact_unique_title,Для вас,26M,26000000,25500000,27000000,26069750,1.003,1,2026-09-16T16:27:13Z,2026-09-16T16:42:59.595Z
2255775,Аватария,exact_unique_title,Для вас,18M,18000000,17500000,19000000,18041776,1.002,1,2026-09-16T16:27:13Z,2026-09-16T16:41:49.226Z
4333086,Любовь 💘,exact_unique_title,Популярные,17M,17000000,16500000,18000000,16897210,0.994,1,2026-09-16T16:27:13Z,2026-09-16T16:43:25.564Z
5925974,Дурак [онлайн],exact_unique_title,Для вас,13M,13000000,12500000,14000000,12621995,0.971,1,2026-09-16T16:27:13Z,2026-09-16T16:45:30.617Z
3069891,Метро: Война кланов,exact_unique_title,Популярные,9M,9000000,8500000,10000000,9312650,1.035,1,2026-09-16T16:27:13Z,2026-09-16T16:42:14.431Z
6923594,Монеточка,exact_unique_title,Для вас,6M,6000000,5500000,7000000,6054688,1.009,1,2026-09-16T16:27:13Z,2026-09-16T16:45:36.931Z
1895587,Территория фермеров,card_link_app_id,catalog card,5M,5000000,4500000,6000000,5139654,1.028,1,2026-09-16T16:27:13Z,2026-09-16T16:41:27.170Z
6352380,Ёжики,exact_unique_title,Для вас,2M,2000000,1500000,3000000,2749985,1.375,1,2026-09-16T16:27:13Z,2026-09-16T16:45:32.730Z
4241302,Родина: Большой урожай,card_link_app_id,catalog card,2M,2000000,1500000,3000000,2406627,1.203,1,2026-09-16T16:27:13Z,2026-09-16T16:43:20.313Z
5648811,БАНЬКА🍺🤪🍺 ПООБЩАЕМСЯ💋😅💋,card_link_app_id,Общение,1M,1000000,500000,2000000,1730707,1.731,1,2026-09-16T16:27:13Z,2026-09-16T16:45:29.567Z
52438621,Тайна Особняка,card_link_app_id,Для вас,750K,750000,745000,760000,748011,0.997,1,2026-09-16T16:27:13Z,2026-09-16T16:47:44.875Z
52238050,Симулятор Погони ДПС Онлайн,card_link_app_id,Гонки,560K,560000,555000,570000,556486,0.994,1,2026-09-16T16:27:13Z,2026-09-16T16:47:39.624Z
53466657,Виселица,card_link_app_id,Набирают популярность,240K,240000,235000,250000,235226,0.98,1,2026-09-16T16:27:13Z,2026-09-16T16:48:15.932Z
54236952,Морской бой 2025,card_link_app_id,Набирают популярность,160K,160000,155000,170000,162686,1.017,1,2026-09-16T16:27:13Z,2026-09-16T16:48:46.196Z
53321885,FRAGEN,card_link_app_id,Набирают популярность,110K,110000,105000,120000,111070,1.01,1,2026-09-16T16:27:13Z,2026-09-16T16:48:10.680Z
52914976,Блокмастер,card_link_app_id,Набирают популярность,63K,63000,62500,64000,62550,0.993,1,2026-09-16T16:27:13Z,2026-09-16T16:47:59.868Z
53825760,Девятка. Успех в руках,card_link_app_id,Набирают популярность,52K,52000,51500,53000,51889,0.998,1,2026-09-16T16:27:13Z,2026-09-16T16:48:27.894Z
53543089,Домино Ру,card_link_app_id,Набирают популярность,18K,18000,17500,19000,18236,1.013,1,2026-09-16T16:27:13Z,2026-09-16T16:48:19.083Z
53629016,Шашки на крутых тачках,card_link_app_id,Гонки,10K,10000,9500,11000,10340,1.034,1,2026-09-16T16:27:13Z,2026-09-16T16:48:23.284Z
54716044,Пазлы Онлайн,card_link_app_id,Новинки,6K,6000,5500,7000,6509,1.085,1,2026-09-16T16:27:13Z,2026-09-16T16:49:39.235Z
54754375,Маджонг: Чайники,card_link_app_id,Новинки,4K,4000,3500,5000,4505,1.126,1,2026-09-16T16:27:13Z,2026-09-16T16:49:47.636Z
54716610,Фруктовый пир,card_link_app_id,Новинки,1K,1000,500,2000,1080,1.08,1,2026-09-16T16:27:13Z,2026-09-16T16:49:39.235Z
